৴ Bengali Currency Numerator One
৵ Bengali Currency Numerator Two
৶ Bengali Currency Numerator Three
৷ Bengali Currency Numerator Four
৸ Bengali Currency Numerator One Less Than The Denominator
৹ Bengali Currency Denominator Sixteen
৺ Bengali Isshar
৽ Bengali Abbreviation Sign
় Bengali Sign Nukta
ঁ Bengali Sign Candrabindu
ং Bengali Sign Anusvara
ঃ Bengali Sign Visarga
৾ Bengali Sandhi Mark
৲ Bengali Rupee Mark
৳ Bengali Rupee Sign
৻ Bengali Ganda Mark
০ Bengali Digit Zero
১ Bengali Digit One
২ Bengali Digit Two
৩ Bengali Digit Three
৪ Bengali Digit Four
৫ Bengali Digit Five
৬ Bengali Digit Six
৭ Bengali Digit Seven
৮ Bengali Digit Eight
৯ Bengali Digit Nine
ঀ Bengali Anji
অ Bengali Letter A
আ Bengali Letter Aa
ই Bengali Letter I
ঈ Bengali Letter Ii
উ Bengali Letter U
ঊ Bengali Letter Uu
ঋ Bengali Letter Vocalic R
ৠ Bengali Letter Vocalic Rr
ঌ Bengali Letter Vocalic L
ৡ Bengali Letter Vocalic Ll
এ Bengali Letter E
ঐ Bengali Letter Ai
ও Bengali Letter O
ঔ Bengali Letter Au
ক Bengali Letter Ka
খ Bengali Letter Kha
গ Bengali Letter Ga
ঘ Bengali Letter Gha
ঙ Bengali Letter Nga
চ Bengali Letter Ca
ছ Bengali Letter Cha
জ Bengali Letter Ja
ঝ Bengali Letter Jha
ঞ Bengali Letter Nya
ট Bengali Letter Tta
ঠ Bengali Letter Ttha
ড Bengali Letter Dda
ড় Bengali Letter Rra
ঢ Bengali Letter Ddha
ঢ় Bengali Letter Rha
ণ Bengali Letter Nna
ত Bengali Letter Ta
ৎ Bengali Letter Khanda Ta
থ Bengali Letter Tha
দ Bengali Letter Da
ধ Bengali Letter Dha
ন Bengali Letter Na
প Bengali Letter Pa
ফ Bengali Letter Pha
ব Bengali Letter Ba
ভ Bengali Letter Bha
ম Bengali Letter Ma
য Bengali Letter Ya
য় Bengali Letter Yya
র Bengali Letter Ra
ৰ Bengali Letter Ra With Middle Diagonal
ল Bengali Letter La
ৱ Bengali Letter Ra With Lower Diagonal
শ Bengali Letter Sha
ষ Bengali Letter Ssa
স Bengali Letter Sa
হ Bengali Letter Ha
ঽ Bengali Sign Avagraha
া Bengali Vowel Sign Aa
ি Bengali Vowel Sign I
ী Bengali Vowel Sign Ii
ু Bengali Vowel Sign U
ূ Bengali Vowel Sign Uu
ৃ Bengali Vowel Sign Vocalic R
ৄ Bengali Vowel Sign Vocalic Rr
ৢ Bengali Vowel Sign Vocalic L
ৣ Bengali Vowel Sign Vocalic Ll
ে Bengali Vowel Sign E
ৈ Bengali Vowel Sign Ai
ো Bengali Vowel Sign O
ো Bengali Vowel Sign O
ৌ Bengali Vowel Sign Au
ৌ Bengali Vowel Sign Au
্ Bengali Sign Virama
ৗ Bengali Au Length Mark
ৼ Bengali Letter Vedic Anusvara
